Video Title,Published Date,Like Count,View Count
Python Pandas Tutorial (Part 1): Getting Started with Data Analysis - Installation and Loading Data,2020-01-09,19191,1205216
Python Pandas Tutorial (Part 2): DataFrame and Series Basics - Selecting Rows and Columns,2020-01-10,13279,565718
"Python Pandas Tutorial (Part 3): Indexes - How to Set, Reset, and Use Indexes",2020-01-13,8795,353692
Python Pandas Tutorial (Part 4): Filtering - Using Conditionals to Filter Rows and Columns,2020-01-17,9720,399202
Python Pandas Tutorial (Part 5): Updating Rows and Columns - Modifying Data Within DataFrames,2020-01-24,8253,355197
Matplotlib Tutorial (Part 1): Creating and Customizing Our First Plots,2019-06-10,17231,932280
Matplotlib Tutorial (Part 2): Bar Charts and Analyzing Data from CSVs,2019-06-11,6287,313631
Matplotlib Tutorial (Part 3): Pie Charts,2019-06-12,3435,141431
Matplotlib Tutorial (Part 4): Stack Plots,2019-06-13,2500,98974
Matplotlib Tutorial (Part 5): Filling Area on Line Plots,2019-06-14,2539,93089
Python Django Tutorial: Full-Featured Web App Part 1 - Getting Started,2018-08-31,30589,2079742
Python Django Tutorial: Full-Featured Web App Part 2 - Applications and Routes,2018-08-31,20855,803052
Python Django Tutorial: Full-Featured Web App Part 3 - Templates,2018-08-31,20143,847586
Python Django Tutorial: Full-Featured Web App Part 4 - Admin Page,2018-08-31,12034,401862
Python Django Tutorial: Full-Featured Web App Part 5 - Database and Migrations,2018-08-31,14919,636497
Python Flask Tutorial: Full-Featured Web App Part 1 - Getting Started,2018-05-04,29150,1820752
Python Flask Tutorial: Full-Featured Web App Part 2 - Templates,2018-05-04,18920,833725
Python Flask Tutorial: Full-Featured Web App Part 3 - Forms and User Input,2018-05-04,12918,713094
Python Flask Tutorial: Full-Featured Web App Part 4 - Database with Flask-SQLAlchemy,2018-05-04,11152,639884
Python Flask Tutorial: Full-Featured Web App Part 5 - Package Structure,2018-05-04,7942,323088
5 Essential Skills Every Well-Rounded Programmer Should Know,2017-09-19,8658,245799
"Frequently Asked Questions #1: Text Editors, Books, Career Advice, and More",2016-11-15,1508,40676
Overview of Online Learning Resources,2015-07-15,1220,36543
"How Software Engineers, Developers, and Designers can volunteer their skills",2015-04-27,598,17495
Preparing for a Python Interview: 10 Things You Should Know,2015-10-11,18839,949480
